candle_num,bucket_start,bucket_end,timestamp,raw_open,raw_high,raw_low,raw_close,ha_open,ha_high,ha_low,ha_close,ha_color,st_value,st_direction,macd_line,signal_line,histogram,trend_decision
1,2025-11-20 12:00:00,2025-11-20 12:00:00,2025-11-21 15:41:44,59283.40,59296.00,59267.00,59280.20,59281.80,59296.00,59267.00,59281.65,RED,N/A,N/A,N/A,N/A,N/A,DOWNTREND
2,2025-11-20 12:15:00,2025-11-20 12:15:00,2025-11-21 15:41:44,59270.60,59300.00,59250.20,59300.00,59281.72,59300.00,59250.20,59280.20,RED,N/A,N/A,N/A,N/A,N/A,DOWNTREND
3,2025-11-20 12:30:00,2025-11-20 12:30:00,2025-11-21 15:41:44,59300.00,59420.00,59300.00,59405.20,59280.96,59420.00,59280.96,59356.30,GREEN,N/A,N/A,N/A,N/A,N/A,UPTREND
4,2025-11-20 12:45:00,2025-11-20 12:45:00,2025-11-21 15:41:44,59417.60,59448.80,59401.20,59415.40,59318.63,59448.80,59318.63,59420.75,GREEN,N/A,N/A,N/A,N/A,N/A,UPTREND
5,2025-11-20 13:00:00,2025-11-20 13:00:00,2025-11-21 15:41:44,59415.40,59435.00,59355.00,59361.40,59369.69,59435.00,59355.00,59391.70,GREEN,N/A,N/A,N/A,N/A,N/A,UPTREND
6,2025-11-20 13:15:00,2025-11-20 13:15:00,2025-11-21 15:41:44,59361.40,59422.60,59352.20,59402.20,59380.70,59422.60,59352.20,59384.60,GREEN,N/A,N/A,N/A,N/A,N/A,UPTREND
7,2025-11-20 13:30:00,2025-11-20 13:30:00,2025-11-21 15:41:44,59408.00,59425.00,59390.00,59415.00,59382.65,59425.00,59382.65,59409.50,GREEN,N/A,N/A,N/A,N/A,N/A,UPTREND
8,2025-11-20 13:45:00,2025-11-20 13:45:00,2025-11-21 15:41:44,59415.00,59460.20,59395.20,59441.80,59396.07,59460.20,59395.20,59428.05,GREEN,N/A,N/A,N/A,N/A,N/A,UPTREND
9,2025-11-20 14:00:00,2025-11-20 14:00:00,2025-11-21 15:41:44,59441.80,59461.20,59417.40,59448.20,59412.06,59461.20,59412.06,59442.15,GREEN,N/A,N/A,N/A,N/A,N/A,UPTREND
10,2025-11-20 14:15:00,2025-11-20 14:15:00,2025-11-21 15:41:44,59447.20,59466.80,59402.00,59402.00,59427.11,59466.80,59402.00,59429.50,GREEN,N/A,N/A,N/A,N/A,N/A,UPTREND
11,2025-11-20 14:30:00,2025-11-20 14:30:00,2025-11-21 15:41:44,59402.00,59439.00,59382.00,59400.00,59428.30,59439.00,59382.00,59405.75,RED,N/A,N/A,N/A,N/A,N/A,DOWNTREND
12,2025-11-20 14:45:00,2025-11-20 14:45:00,2025-11-21 15:41:44,59400.00,59427.00,59393.80,59410.40,59417.03,59427.00,59393.80,59407.80,RED,N/A,N/A,N/A,N/A,N/A,DOWNTREND
13,2025-11-20 15:00:00,2025-11-20 15:00:00,2025-11-21 15:41:44,59420.00,59430.00,59362.60,59390.20,59412.41,59430.00,59362.60,59400.70,RED,N/A,N/A,N/A,N/A,N/A,DOWNTREND
14,2025-11-20 15:15:00,2025-11-20 15:15:00,2025-11-21 15:41:44,59400.00,59427.00,59383.80,59402.00,59406.56,59427.00,59383.80,59403.20,RED,N/A,N/A,N/A,N/A,N/A,DOWNTREND
